,OverFifty,TotalPop,TRACTCE
"Census Tract 5014, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:501400",1283,3360,501400
"Census Tract 5023, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:502300",1478,6291,502300
"Census Tract 8713.07, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871307",1933,4977,871307
"Census Tract 8714.02, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871402",2171,5916,871402
"Census Tract 8701.02, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870102",2726,6650,870102
"Census Tract 8702, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870200",2527,6061,870200
"Census Tract 8708.03, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870803",3527,7815,870803
"Census Tract 8708.08, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870808",1614,3724,870808
"Census Tract 8539, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:853900",1960,6189,853900
"Census Tract 8506, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:850600",3108,7447,850600
"Census Tract 8527, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852700",2386,6982,852700
"Census Tract 8505, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:850500",1591,3841,850500
"Census Tract 8536, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:853600",1830,8747,853600
"Census Tract 8905, Kendall County, Illinois: Summary level: 140, state:17> county:093> tract:890500",3250,13778,890500
"Census Tract 8907, Kendall County, Illinois: Summary level: 140, state:17> county:093> tract:890700",3478,16266,890700
"Census Tract 8904, Kendall County, Illinois: Summary level: 140, state:17> county:093> tract:890400",6239,28671,890400
"Census Tract 8906, Kendall County, Illinois: Summary level: 140, state:17> county:093> tract:890600",3399,10128,890600
"Census Tract 8902.02, Kendall County, Illinois: Summary level: 140, state:17> county:093> tract:890202",1011,3430,890202
"Census Tract 8902.01, Kendall County, Illinois: Summary level: 140, state:17> county:093> tract:890201",1607,4793,890201
"Census Tract 9704, Brown County, Illinois: Summary level: 140, state:17> county:009> tract:970400",1097,2500,970400
"Census Tract 9705, Brown County, Illinois: Summary level: 140, state:17> county:009> tract:970500",1177,4175,970500
"Census Tract 8832.06, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883206",1592,3846,883206
"Census Tract 8831, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883100",1200,4265,883100
"Census Tract 8838.04, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883804",1053,2743,883804
"Census Tract 207, Williamson County, Illinois: Summary level: 140, state:17> county:199> tract:020700",1881,4533,020700
"Census Tract 211, Williamson County, Illinois: Summary level: 140, state:17> county:199> tract:021100",993,3050,021100
"Census Tract 208, Williamson County, Illinois: Summary level: 140, state:17> county:199> tract:020800",2551,6488,020800
"Census Tract 209, Williamson County, Illinois: Summary level: 140, state:17> county:199> tract:020900",2155,4910,020900
"Census Tract 206, Williamson County, Illinois: Summary level: 140, state:17> county:199> tract:020600",1594,4079,020600
"Census Tract 212, Williamson County, Illinois: Summary level: 140, state:17> county:199> tract:021200",1646,4962,021200
"Census Tract 203, Williamson County, Illinois: Summary level: 140, state:17> county:199> tract:020300",1962,4449,020300
"Census Tract 214, Williamson County, Illinois: Summary level: 140, state:17> county:199> tract:021400",2334,5133,021400
"Census Tract 201, Williamson County, Illinois: Summary level: 140, state:17> county:199> tract:020100",1485,3747,020100
"Census Tract 205, Williamson County, Illinois: Summary level: 140, state:17> county:199> tract:020500",1399,3702,020500
"Census Tract 8703, Warren County, Illinois: Summary level: 140, state:17> county:187> tract:870300",1295,2608,870300
"Census Tract 8705, Warren County, Illinois: Summary level: 140, state:17> county:187> tract:870500",1522,4985,870500
"Census Tract 8704, Warren County, Illinois: Summary level: 140, state:17> county:187> tract:870400",1704,4882,870400
"Census Tract 9504, Effingham County, Illinois: Summary level: 140, state:17> county:049> tract:950400",1518,3914,950400
"Census Tract 9530, Fulton County, Illinois: Summary level: 140, state:17> county:057> tract:953000",935,2226,953000
"Census Tract 9536, Fulton County, Illinois: Summary level: 140, state:17> county:057> tract:953600",1792,4088,953600
"Census Tract 9531, Fulton County, Illinois: Summary level: 140, state:17> county:057> tract:953100",1153,2511,953100
"Census Tract 9538, Fulton County, Illinois: Summary level: 140, state:17> county:057> tract:953800",1117,2693,953800
"Census Tract 9528, Fulton County, Illinois: Summary level: 140, state:17> county:057> tract:952800",1100,2692,952800
"Census Tract 9535, Fulton County, Illinois: Summary level: 140, state:17> county:057> tract:953500",1317,5088,953500
"Census Tract 8191, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:819100",1372,4387,819100
"Census Tract 8196, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:819600",1133,3751,819600
"Census Tract 8278.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:827804",1235,3183,827804
"Census Tract 37.10, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003710",965,2369,003710
"Census Tract 4.01, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000401",854,2178,000401
"Census Tract 38.05, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003805",3040,7115,003805
"Census Tract 602, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:060200",419,2324,060200
"Census Tract 610, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:061000",217,2208,061000
"Census Tract 624, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:062400",346,1576,062400
"Census Tract 702, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:070200",581,4283,070200
"Census Tract 703, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:070300",373,3575,070300
"Census Tract 106, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:010600",1469,6271,010600
"Census Tract 204, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:020400",1590,4236,020400
"Census Tract 310, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:031000",1074,4089,031000
"Census Tract 403, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:040300",1201,2925,040300
"Census Tract 506, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:050600",550,2177,050600
"Census Tract 605, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:060500",551,1295,060500
"Census Tract 609, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:060900",2003,7114,060900
"Census Tract 5.02, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000502",1297,3106,000502
"Census Tract 25, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:002500",691,2807,002500
"Census Tract 9546, Piatt County, Illinois: Summary level: 140, state:17> county:147> tract:954600",2598,6327,954600
"Census Tract 9547, Piatt County, Illinois: Summary level: 140, state:17> county:147> tract:954700",1272,3016,954700
"Census Tract 9545, Piatt County, Illinois: Summary level: 140, state:17> county:147> tract:954500",1896,4275,954500
"Census Tract 9548, Piatt County, Illinois: Summary level: 140, state:17> county:147> tract:954800",1040,2809,954800
"Census Tract 9711, Pulaski County, Illinois: Summary level: 140, state:17> county:153> tract:971100",1282,2562,971100
"Census Tract 9710, Pulaski County, Illinois: Summary level: 140, state:17> county:153> tract:971000",1193,3049,971000
"Census Tract 9702, Schuyler County, Illinois: Summary level: 140, state:17> county:169> tract:970200",1212,2908,970200
"Census Tract 9701, Schuyler County, Illinois: Summary level: 140, state:17> county:169> tract:970100",1139,2451,970100
"Census Tract 9703, Schuyler County, Illinois: Summary level: 140, state:17> county:169> tract:970300",750,1705,970300
"Census Tract 9515, Stark County, Illinois: Summary level: 140, state:17> county:175> tract:951500",1189,2565,951500
"Census Tract 9514, Stark County, Illinois: Summary level: 140, state:17> county:175> tract:951400",1243,2935,951400
"Census Tract 705, Edgar County, Illinois: Summary level: 140, state:17> county:045> tract:070500",1779,3754,070500
"Census Tract 704, Edgar County, Illinois: Summary level: 140, state:17> county:045> tract:070400",1967,5561,070400
"Census Tract 702, Edgar County, Illinois: Summary level: 140, state:17> county:045> tract:070200",851,1999,070200
"Census Tract 1507, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:150700",1536,4197,150700
"Census Tract 1613, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:161300",1125,3919,161300
"Census Tract 2104, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:210400",718,2851,210400
"Census Tract 2108, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:210800",171,1077,210800
"Census Tract 2216, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:221600",380,3136,221600
"Census Tract 8018, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:801800",2914,5742,801800
"Census Tract 8029, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802900",2478,5945,802900
"Census Tract 8036.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803604",1965,4175,803604
"Census Tract 8038, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803800",1748,4559,803800
"Census Tract 8045.05, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804505",1087,3386,804505
"Census Tract 8047.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804701",1607,6451,804701
"Census Tract 8047.06, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804706",957,2410,804706
"Census Tract 8240.05, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824005",2169,5663,824005
"Census Tract 8240.06, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824006",2175,4560,824006
"Census Tract 8241.13, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824113",3059,7005,824113
"Census Tract 8241.14, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824114",2334,5109,824114
"Census Tract 8241.15, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824115",1607,3951,824115
"Census Tract 8241.16, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824116",1659,5482,824116
"Census Tract 8040, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804000",2077,4566,804000
"Census Tract 4036.03, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403603",710,1819,403603
"Census Tract 4036.04, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403604",2464,6695,403604
"Census Tract 4037.01, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403701",2523,5956,403701
"Census Tract 4037.02, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403702",2322,5639,403702
"Census Tract 4040, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:404000",790,2850,404000
"Census Tract 106.01, Boone County, Illinois: Summary level: 140, state:17> county:007> tract:010601",1440,3811,010601
"Census Tract 8708.09, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870809",2449,6696,870809
"Census Tract 8709.02, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870902",2707,7816,870902
"Census Tract 8709.03, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870903",1296,3695,870903
"Census Tract 8714.04, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871404",1767,4778,871404
"Census Tract 8705, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870500",3394,9221,870500
"Census Tract 8707.02, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870702",3024,7496,870702
"Census Tract 8708.07, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870807",1919,5657,870807
"Census Tract 404, Mercer County, Illinois: Summary level: 140, state:17> county:131> tract:040400",1687,3996,040400
"Census Tract 401, Mercer County, Illinois: Summary level: 140, state:17> county:131> tract:040100",1862,4586,040100
"Census Tract 8811.07, Will County, Illinois: Summary level: 140, state:17> county:197> tract:881107",1133,2919,881107
"Census Tract 8811.08, Will County, Illinois: Summary level: 140, state:17> county:197> tract:881108",2145,6848,881108
"Census Tract 8811.09, Will County, Illinois: Summary level: 140, state:17> county:197> tract:881109",1393,4790,881109
